id,AEZ,Tillage date,Sowing date,Harvest date,Planting density,N 1st application (kg/ha),N 1st date,N 2nd application (kg/ha),N 2nd date,N 3rd application (kg/ha),N 3rd date,Maize seed variety
1,Guinea Savannah,03-May,03-May,03-Aug,0.355,7.4,03-May,4.8,01-Jun,3.8,28-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
2,Sudan Savannah,03-May,03-May,03-Aug,0.355,7.4,03-May,4.8,01-Jun,3.8,28-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
3,Rain forest,03-May,03-May,03-Aug,0.355,7.4,03-May,4.8,01-Jun,13.8,28-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
4,Sahel Savannah,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
5,Fresh Water swamp,03-May,03-May,03-Aug,0.355,7.4,03-May,4.8,01-Jun,3.8,28-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
6,Mangrove,03-May,03-May,03-Aug,0.355,7.4,03-May,4.8,01-Jun,3.8,28-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
7,Lake Chad,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
