id,AEZ,Tillage date,Sowing date,Harvest date,Planting density,N 1st application (kg/ha),N 1st date,N 2nd application (kg/ha),N 2nd date,N 3rd application (kg/ha),N 3rd date,Maize seed variety
1,Guinea Savannah,12-Apr,14-Apr,20-Jun,0.355,7.4,14-Apr,2.8,01-May,1.8,20-May,SAMMAZ 15 (IWDC2Syn-F2-W
2,Sudan Savannah,12-Apr,14-Apr,20-Jun,0.355,7.4,14-Apr,2.8,01-May,1.8,20-May,SAMMAZ 27 (EV 99DT-W-STR
3,Rain forest,12-Apr,14-Apr,20-Jun,0.355,7.4,14-Apr,2.8,01-May,1.8,20-May,SAMMAZ 40 (DTSTR-Y SYN2)
4,Sahel Savannah,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
5,Fresh Water swamp,12-Apr,14-Apr,20-Jun,0.355,7.4,14-Apr,2.8,01-May,1.8,20-May,SAMMAZ 40 (DTSTR-Y SYN2)
6,Mangrove,12-Apr,14-Apr,20-Jun,0.355,7.4,14-Apr,2.8,01-May,1.8,20-May,SAMMAZ 40 (DTSTR-Y SYN2)
7,Lake Chad,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
