id,AEZ,Tillage date,Sowing date,Harvest date,Planting density,N 1st application (kg/ha),N 1st date,N 2nd application (kg/ha),N 2nd date,N 3rd application (kg/ha),N 3rd date,Maize seed variety
1,Guinea Savannah,15-May,15-May,15-Aug,0.355,4.8,15-May,3.8,10-Jun,2.4,07-Jul,SAMMAZ 15 (IWDC2Syn-F2-W
2,Sudan Savannah,15-May,15-May,15-Aug,0.355,4.8,15-May,3.8,10-Jun,2.4,07-Jul,SAMMAZ 15 (IWDC2Syn-F2-W
3,Rain forest,15-May,15-May,15-Aug,0.355,4.8,15-May,3.8,10-Jun,2.4,07-Jul,SAMMAZ 15 (IWDC2Syn-F2-W
4,Sahel Savannah,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
5,Fresh Water swamp,15-May,15-May,15-Aug,0.355,4.8,15-May,3.8,10-Jun,2.4,07-Jul,SAMMAZ 15 (IWDC2Syn-F2-W
6,Mangrove,15-May,15-May,15-Aug,0.355,4.8,15-May,3.8,10-Jun,2.4,07-Jul,SAMMAZ 15 (IWDC2Syn-F2-W
7,Lake Chad,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
