id,AEZ,Tillage date,Sowing date,Harvest date,Planting density,N 1st application (kg/ha),N 1st date,N 2nd application (kg/ha),N 2nd date,N 3rd application (kg/ha),N 3rd date,Maize seed variety
1,Guinea Savannah,25-Apr,25-Apr,05-Jul,0.355,4.8,25-Apr,3.8,20-May,2.4,15-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
2,Sudan Savannah,25-Apr,25-Apr,05-Jul,0.355,4.8,25-Apr,3.8,20-May,2.4,15-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
3,Rain forest,25-Apr,25-Apr,05-Jul,0.355,4.8,25-Apr,3.8,20-May,2.4,15-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
4,Sahel Savannah,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
5,Fresh Water swamp,25-Apr,25-Apr,05-Jul,0.355,4.8,25-Apr,3.8,20-May,2.4,15-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
6,Mangrove,25-Apr,25-Apr,05-Jul,0.355,4.8,25-Apr,3.8,20-May,2.4,15-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
7,Lake Chad,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
