id,AEZ,Tillage date,Sowing date,Harvest date,Planting density,N 1st application (kg/ha),N 1st date,N 2nd application (kg/ha),N 2nd date,N 3rd application (kg/ha),N 3rd date,Maize seed variety
1,Guinea Savannah,20-May,22-May,12-Sep,0.355,39.4,22-May,39.4,13-Jun,39.4,03-Jul,SAMMAZ 15 (IWDC2Syn-F2-W
2,Sudan Savannah,12-Jun,15-Jun,07-Oct,0.35,45.5,17-Jun,45.5,08-Jul,45.5,27-Jul,SAMMAZ 27 (EV 99DT-W-STR
3,Rain forest,20-Apr,12-Apr,12-Aug,0.35,30,22-Apr,30,13-May,30,03-Jun,SAMMAZ 40 (DTSTR-Y SYN2)
4,Sahel Savannah,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
5,Fresh Water swamp,20-Apr,12-Apr,12-Aug,0.35,30,22-Apr,30,13-May,30,03-Jun,SAMMAZ 40 (DTSTR-Y SYN2)
6,Mangrove,20-Apr,12-Apr,12-Aug,0.35,30,22-Apr,30,13-May,30,03-Jun,SAMMAZ 40 (DTSTR-Y SYN2)
7,Lake Chad,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
