OBJECTID,AEZ,Tillage_date,Sowing_date,Harvest_date,Planting Density,N 1st Application(kg/ha),N 1st _Date,N 2nd Application(kg/ha),N 2nd_Date,N 3rd Application(kg/ha),N 3rd_Date,Maize seed Variety
1,Guinea Savannah,10-May,12-May,02-Sep,0.355,39.4,12-May,39.4,03-Jun,39.4,23-Jun,SAMMAZ 15 (IWDC2Syn-F2-W
2,Sudan Savannah,10-Jun,12-Jun,02-Oct,0.35,45.5,12-Jun,45.5,03-Jul,45.5,22-Jul,SAMMAZ 27 (EV 99DT-W-STR
3,Rain forest,20-Apr,22-Apr,12-Aug,0.35,30,21-Apr,30,12-May,30,11-Jun,SAMMAZ 40 (DTSTR-Y SYN2)
4,Sahel Savannah,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
5,Fresh Water swamp,10-Apr,12-Apr,02-Aug,0.35,30,12-Apr,30,03-May,30,23-May,SAMMAZ 40 (DTSTR-Y SYN2)
7,Mangrove,10-Apr,12-Apr,02-Aug,0.35,30,12-Apr,30,03-May,30,23-May,SAMMAZ 40 (DTSTR-Y SYN2)
8,Lake Chad,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
