run-id,region,crop,planting,nitrogen,gcm,scenario,ensmem,incl_historical,start_date,end_date,elevation,slope,latitude,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,use_vernalisation_fix,path_to_dem_asc_grid,path_to_slope_asc_grid,slope_unit,sim.json,crop.json,site.json,comment
1,nigeria,HaskePotato,early,low,GFDL-ESM4,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
2,nigeria,HaskePotato,early,low,IPSL-CM6A-LR,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
3,nigeria,HaskePotato,early,low,MPI-ESM1-2-HR,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
4,nigeria,HaskePotato,early,low,MRI-ESM2-0,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
5,nigeria,HaskePotato,early,low,UKESM1-0-LL,ssp126,r1i1p1f2,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
6,nigeria,HaskePotato,early,medium,GFDL-ESM4,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
7,nigeria,HaskePotato,early,medium,IPSL-CM6A-LR,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
8,nigeria,HaskePotato,early,medium,MPI-ESM1-2-HR,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
9,nigeria,HaskePotato,early,medium,MRI-ESM2-0,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
10,nigeria,HaskePotato,early,medium,UKESM1-0-LL,ssp126,r1i1p1f2,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
11,nigeria,HaskePotato,early,high,GFDL-ESM4,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.85|0.85|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
12,nigeria,HaskePotato,early,high,IPSL-CM6A-LR,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.85|0.85|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
13,nigeria,HaskePotato,early,high,MPI-ESM1-2-HR,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.85|0.85|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
14,nigeria,HaskePotato,early,high,MRI-ESM2-0,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.85|0.85|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
15,nigeria,HaskePotato,late,high,UKESM1-0-LL,ssp126,r1i1p1f2,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.85|0.85|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
16,nigeria,HaskePotato,late,low,GFDL-ESM4,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
17,nigeria,HaskePotato,late,low,IPSL-CM6A-LR,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
18,nigeria,HaskePotato,late,low,MPI-ESM1-2-HR,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
19,nigeria,HaskePotato,late,low,MRI-ESM2-0,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
20,nigeria,HaskePotato,late,low,UKESM1-0-LL,ssp126,r1i1p1f2,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.7|0.7|0.75|0|0.83|0.8|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
21,nigeria,HaskePotato,late,medium,GFDL-ESM4,ssp126,r1i1p1f1,TRUE,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.8|0.8|0.85|0|0.85|0.85|0,,true,data/elevation_0.009deg_4326_wgs84_nigeria.asc,data/slope-degree_0.009deg_4326_wgs84_nigeria.asc,degree,sim.json,crop_nigeria.json,site.json,
